id,date,base_currency,sgd,eur,aud,idr
2014-09-26,2014-09-26 00:00,USD,1.27,0.79,1.14,12051.45
2014-09-27,2014-09-27 00:00,USD,1.27,0.79,1.14,12051.45
2014-09-28,2014-09-28 00:00,USD,1.27,0.79,1.14,12051.45
2014-09-29,2014-09-29 00:00,USD,1.27,0.79,1.15,12175.5
2014-09-30,2014-09-30 00:00,USD,1.28,0.79,1.15,12212.51
2014-10-01,2014-10-01 00:00,USD,1.28,0.79,1.15,12146.47
2014-10-02,2014-10-02 00:00,USD,1.27,0.79,1.14,12150.5
2014-10-03,2014-10-03 00:00,USD,1.28,0.79,1.14,12197.84
2014-10-04,2014-10-04 00:00,USD,1.28,0.79,1.14,12197.84
2014-10-05,2014-10-05 00:00,USD,1.28,0.79,1.14,12197.84
2014-10-06,2014-10-06 00:00,USD,1.28,0.8,1.14,12189.57
2014-10-07,2014-10-07 00:00,USD,1.28,0.79,1.14,12235.5
2014-10-08,2014-10-08 00:00,USD,1.28,0.79,1.14,12250.45
2014-10-09,2014-10-09 00:00,USD,1.27,0.78,1.13,12164.54
2014-10-10,2014-10-10 00:00,USD,1.27,0.79,1.15,12236.27
2014-10-11,2014-10-11 00:00,USD,1.27,0.79,1.15,12236.27
2014-10-12,2014-10-12 00:00,USD,1.27,0.79,1.15,12236.27
2014-10-13,2014-10-13 00:00,USD,1.27,0.79,1.14,12193.47
2014-10-14,2014-10-14 00:00,USD,1.27,0.79,1.14,12216.51
2014-10-15,2014-10-15 00:00,USD,1.28,0.79,1.15,12224.46
2014-10-16,2014-10-16 00:00,USD,1.28,0.78,1.15,12278.53
2014-10-17,2014-10-17 00:00,USD,1.27,0.78,1.14,12089.53
2014-10-18,2014-10-18 00:00,USD,1.27,0.78,1.14,12089.53
2014-10-19,2014-10-19 00:00,USD,1.27,0.78,1.14,12089.53
2014-10-20,2014-10-20 00:00,USD,1.27,0.78,1.14,12015.42
2014-10-21,2014-10-21 00:00,USD,1.27,0.78,1.13,11995.38
2014-10-22,2014-10-22 00:00,USD,1.27,0.79,1.14,12003.39
2014-10-23,2014-10-23 00:00,USD,1.27,0.79,1.14,12043.41
