unit_id,unit_name,property_id,status,bedroom,bathroom,beds,guests,deleted_at,capacity,created_at,updated_at,temp_column,unit_type_id,old_unit_id
,Beautiful Bali Villa - 4 BR,PR0565,2,4,3,4,8,2022-11-17 03:30,,2019-01-09 00:00,2023-04-28 04:26,,4,
UN0000,UNREGISTERED,PR0000,2,4,,,,2019-04-29 00:00,,2018-07-05 14:03,2023-04-28 04:26,,8,
UN0001,Omah Cening,PR0005,2,3,,,,2019-04-30 00:00,,2018-08-30 00:00,2023-04-28 04:26,,9,
UN0002,PinkCoco Gili Air - Suite Del Mar,PR0004,2,3,,,,2018-08-13 00:00,,2018-08-10 00:00,2023-04-28 04:26,,11,
UN0003,Villa Aura,PR0388,2,2,2,2,4,2021-02-01 00:00,4,2019-03-15 00:00,2023-04-28 04:26,,14,
UN0004,PinkCoco Gili Air - Gladak,PR0004,2,2,,,,2018-08-13 00:00,,2018-08-10 00:00,2023-04-28 04:26,,12,
UN0005,PinkCoco Gili Air - Grande,PR0004,2,4,,,,2018-08-13 00:00,,2018-08-10 00:00,2023-04-28 04:26,,13,
UN0006,PinkCoco Gili Air - Cocoon,PR0004,2,2,,,,2018-09-12 00:00,,2018-08-10 00:00,2023-04-28 04:26,,12,
UN0007,PinkCoco GT - Grand Deluxe Room,PR0003,2,3,,,,2018-07-09 00:00,,2018-07-08 00:00,2023-04-28 04:26,,15,
UN0008,PinkCoco GT - Deluxe Room,PR0003,2,2,,,,2018-07-09 00:00,,2018-07-08 00:00,2023-04-28 04:26,,16,
UN0009,PinkCoco Bali - Penthouse,PR0002,2,4,,,,2019-08-22 00:00,,2018-07-22 00:00,2023-04-28 04:26,,17,
UN0010,PinkCoco Bali - Panoramic,PR0002,2,4,,,,2019-08-22 00:00,,2018-07-22 00:00,2023-04-28 04:26,,17,
UN0011,PinkCoco Bali - Garden,PR0002,2,4,,,,2019-08-22 00:00,,2018-07-22 00:00,2023-04-28 04:26,,17,
UN0012,PinkCoco Bali - Deluxe Room,PR0002,2,1,,,,2019-08-22 00:00,,2018-07-22 00:00,2023-04-28 04:26,,18,
UN0013,PinkCoco Bali - Courtyard,PR0002,2,1,,,,2019-08-22 00:00,,2018-07-22 00:00,2023-04-28 04:26,,18,
UN0014,Villa Lulu,PR0006,2,4,,,,2018-07-30 00:00,,2018-07-29 00:00,2023-04-28 04:26,,19,
UN0015,Griya Langen - 6BR,PR0011,2,3,,,,2018-12-14 00:00,,2018-02-16 00:00,2023-04-28 04:26,,20,
UN0016,Watusaman - Ground Floor 5BR,PR0071,2,1,,,,2018-09-22 00:00,,2018-08-09 00:00,2023-04-28 04:26,,23,
UN0017,Homestay Tembi - Family Room Bugis,PR0013,2,2,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,27,
UN0018,Homestay Tembi - Family Room Suyawijaya,PR0013,2,3,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,28,
UN0019,Homestay Tembi - Family Room Prawiratama,PR0013,2,1,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,29,
UN0020,Homestay Tembi - Family Room Sadewa,PR0013,2,3,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,28,
UN0021,Homestay Tembi - Standard Room Jogokarya,PR0013,2,4,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,30,
UN0022,Homestay Tembi - Standard Room Mangkuyuda,PR0013,2,4,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,30,
UN0023,Homestay Tembi - Standard Room Brahmana,PR0013,2,2,,,,2018-07-21 00:00,,2017-11-04 00:00,2023-04-28 04:26,,27,
UN0024,Wisma Eyang Sosro - 3BR,PR0015,2,4,,,,2019-07-26 00:00,,2018-11-19 00:00,2023-04-28 04:26,,31,
UN0025,Rajaklana - Luxury Stone House,PR0014,2,1,,,,2022-02-09 08:36,,,2023-04-28 04:26,,35,
UN0026,Double D - 1,PR0017,2,1,1,1,2,2022-12-30 00:00,2,2018-06-18 00:00,2023-04-28 04:26,,38,
UN0027,Double D - 2,PR0017,2,1,1,1,2,2022-11-17 03:34,2,2018-07-09 00:00,2023-04-28 04:26,,38,
UN0028,Double D - 3,PR0017,2,1,0,0,0,2022-11-17 03:34,,2018-12-25 00:00,2023-04-28 04:26,,39,
UN0029,Double D - 4,PR0017,2,1,0,0,0,2022-11-17 03:34,,2018-12-25 00:00,2023-04-28 04:26,,39,
UN0031,Joglo Agung Standard Room,PR0023,2,3,,,,2018-06-20 00:00,,2018-06-19 00:00,2023-04-28 04:26,,40,
UN0032,Joglo Agung Family Room A,PR0023,2,3,,,,2018-06-20 00:00,,2018-06-19 00:00,2023-04-28 04:26,,40,
UN0033,Coffee Network Villa,PR0026,2,2,,,,2018-08-18 00:00,,2018-06-09 00:00,2023-04-28 04:26,,42,
UN0034,The Miracle Villas,PR0025,2,3,,,,2020-05-02 00:00,,2018-12-07 00:00,2023-04-28 04:26,,45,
UN0035,Villa Shiva - Serenity,PR0024,2,2,,,,2018-12-26 00:00,,2018-06-24 00:00,2023-04-28 04:26,,46,
UN0036,Villa Shiva - Bali,PR0024,2,2,0,0,0,2020-08-25 00:00,,2018-06-17 00:00,2023-04-28 04:26,,47,
UN0037,D'Java Citra Ayu,PR0027,2,1,,,,2022-02-09 08:36,,,2023-04-28 04:26,,49,
UN0038,D'Java Omah Sambilegi,PR0028,2,3,,,,2018-08-25 00:00,,2018-08-23 00:00,2023-04-28 04:26,,50,
UN0039,Gamat Garden - 2 Room,PR0036,2,1,,,,2019-10-14 00:00,,2019-01-12 00:00,2023-04-28 04:26,,51,
UN0040,Gamat Garden - 3 Room,PR0036,2,2,,,,2019-08-24 00:00,,2019-04-01 00:00,2023-04-28 04:26,,52,
UN0041,Gamat Garden - 4 Room,PR0036,2,3,,,,2019-08-16 00:00,,2019-08-12 00:00,2023-04-28 04:26,,53,
UN0042,Mega Land - 3 Room,PR0352,2,3,3,3,6,2019-08-02 00:00,6,2019-01-18 00:00,2023-04-28 04:26,,55,
UN0043,Mega Land - 2 Room,PR0352,2,2,2,2,4,2020-03-04 00:00,4,2018-12-16 00:00,2023-04-28 04:26,,56,
UN0044,Batan Sabo - 1,PR0039,2,4,,,,2018-12-29 00:00,,2018-05-20 00:00,2023-04-28 04:26,,60,
UN0045,Batan Sabo - 2,PR0039,2,4,,,,2019-05-06 00:00,,2019-03-03 00:00,2023-04-28 04:26,,60,
UN0046,Batan Sabo - 3,PR0039,2,4,,,,2020-04-22 07:56,,2018-05-20 00:00,2023-04-28 04:26,,60,
