unit_type_id,property_id,name,created_at,updated_at,deleted_at
1,PR0691,Sleep Well Balangan Villa,2021-11-22 05:25,2023-03-06 09:56,
2,PR0692,Dancing Garden Villa (B7),2021-12-06 03:03,2021-12-06 03:42,
3,PR0689,Beach House 55,2021-12-06 03:47,2023-03-06 09:56,
4,PR0565,Type 1,2021-12-09 06:41,2021-12-09 06:41,
5,PR0565,Type 2,2021-12-09 06:41,2021-12-09 06:41,
6,PR0565,Type 3,2021-12-09 06:41,2021-12-09 06:41,
7,PR0565,Type 4,2021-12-09 06:41,2021-12-09 06:41,
8,PR0000,Type 1,2021-12-09 06:41,2021-12-09 06:41,
9,PR0005,Type 1,2021-12-09 06:41,2021-12-09 06:41,
10,PR0005,Type 2,2021-12-09 06:41,2021-12-09 06:41,
11,PR0004,Type 1,2021-12-09 06:41,2021-12-09 06:41,
12,PR0004,Type 2,2021-12-09 06:41,2021-12-09 06:41,
13,PR0004,Type 3,2021-12-09 06:41,2021-12-09 06:41,
14,PR0388,Type 1,2021-12-09 06:41,2021-12-09 06:41,
15,PR0003,Type 1,2021-12-09 06:41,2021-12-09 06:41,
16,PR0003,Type 2,2021-12-09 06:41,2021-12-09 06:41,
17,PR0002,Type 1,2021-12-09 06:41,2021-12-09 06:41,
18,PR0002,Type 2,2021-12-09 06:41,2021-12-09 06:41,
19,PR0006,Type 1,2021-12-09 06:41,2021-12-09 06:41,
20,PR0011,Type 1,2021-12-09 06:41,2021-12-09 06:41,
21,PR0011,Type 2,2021-12-09 06:41,2021-12-09 06:41,
22,PR0011,Type 3,2021-12-09 06:41,2021-12-09 06:41,
23,PR0071,Type 1,2021-12-09 06:41,2021-12-09 06:41,
24,PR0071,Type 2,2021-12-09 06:41,2021-12-09 06:41,
25,PR0071,Type 3,2021-12-09 06:41,2021-12-09 06:41,
26,PR0071,Type 4,2021-12-09 06:41,2021-12-09 06:41,
27,PR0013,Type 1,2021-12-09 06:41,2021-12-09 06:41,
28,PR0013,Type 2,2021-12-09 06:41,2021-12-09 06:41,
29,PR0013,Type 3,2021-12-09 06:41,2021-12-09 06:41,
30,PR0013,Type 4,2021-12-09 06:41,2021-12-09 06:41,
31,PR0015,Type 1,2021-12-09 06:41,2021-12-09 06:41,
32,PR0015,Type 2,2021-12-09 06:41,2021-12-09 06:41,
33,PR0015,Type 3,2021-12-09 06:41,2021-12-09 06:41,
34,PR0015,Type 4,2021-12-09 06:41,2021-12-09 06:41,
35,PR0014,Type 1,2021-12-09 06:41,2021-12-09 06:41,
36,PR0014,Type 2,2021-12-09 06:42,2021-12-09 06:42,
37,PR0014,Type 3,2021-12-09 06:42,2021-12-09 06:42,
38,PR0017,Type 1,2021-12-09 06:42,2021-12-09 06:42,
39,PR0017,Type 2,2021-12-09 06:42,2021-12-09 06:42,
40,PR0023,Type 1,2021-12-09 06:42,2021-12-09 06:42,
41,PR0023,Type 2,2021-12-09 06:42,2021-12-09 06:42,
42,PR0026,Type 1,2021-12-09 06:42,2021-12-09 06:42,
43,PR0026,Type 2,2021-12-09 06:42,2021-12-09 06:42,
44,PR0026,Type 3,2021-12-09 06:42,2021-12-09 06:42,
45,PR0025,Type 1,2021-12-09 06:42,2021-12-09 06:42,
46,PR0024,Type 1,2021-12-09 06:42,2021-12-09 06:42,
47,PR0024,Type 2,2021-12-09 06:42,2021-12-09 06:42,
