unit_id,status,bedroom,bathroom,beds,capacity,property_id,avg_daily_rate_per_unit,wifi,tv,cable_tv,ac,workspace,pool,parking,gym,kitchen
UN0026,2,1,1,1,2,PR0017,362316.9329365079,1,0,0,1,1,1,1,0,1
UN0027,2,1,1,1,2,PR0017,419382.35294117645,1,0,0,1,1,1,1,0,1
UN0042,2,3,3,3,6,PR0352,1273125.0,1,0,0,1,1,1,1,0,0
UN0043,2,2,2,2,4,PR0352,606088.3333333334,1,0,0,1,1,1,1,0,0
UN0120,2,3,,,,PR0261,383292.49186813185,1,1,1,1,1,0,1,0,0
UN0121,2,1,,,,PR0261,369575.7857936508,1,1,0,1,1,0,1,0,0
UN0141,2,1,1,1,3,PR0168,721976.8424519988,1,1,1,1,1,1,1,0,0
UN0142,2,1,1,1,2,PR0168,533750.2541859885,1,1,1,1,1,1,1,0,0
UN0143,2,1,1,1,2,PR0168,594623.9346153056,1,1,1,1,1,1,1,0,0
UN0144,2,1,1,1,2,PR0168,871147.8432698622,1,1,1,1,1,1,1,0,0
UN0145,2,1,1,1,2,PR0168,523735.3616007008,1,1,1,1,1,1,1,0,0
UN0146,2,1,1,1,2,PR0168,609489.9982156463,1,1,1,1,1,1,1,0,0
UN0147,2,1,1,1,2,PR0168,638098.8414144724,1,1,1,1,1,1,1,0,0
UN0148,2,1,1,1,2,PR0168,773464.3397420634,1,1,0,1,1,1,1,0,0
UN0153,2,1,1,1,2,PR0170,757470.5986378738,1,0,0,1,1,1,1,0,0
UN0154,2,1,1,1,2,PR0170,633217.1179497882,1,0,0,1,1,1,1,0,0
UN0155,2,1,1,1,2,PR0170,685499.0283909782,1,0,0,1,1,1,1,0,0
UN0156,2,1,1,1,2,PR0170,581074.899745238,1,0,0,1,1,1,1,0,0
UN0157,2,1,1,1,2,PR0170,562623.9561728394,1,0,0,1,1,1,1,0,0
UN0158,2,1,1,1,3,PR0170,583366.4638718821,1,0,0,1,1,1,1,0,0
UN0159,2,1,1,1,2,PR0170,880298.8390070922,1,0,0,1,1,1,1,0,0
UN0160,2,1,1,1,2,PR0170,616731.7492063491,1,0,0,1,1,1,1,0,0
UN0161,2,1,1,1,2,PR0170,744415.4901242077,1,0,0,1,1,1,1,0,0
UN0162,2,1,1,1,2,PR0170,783276.2086572989,1,0,0,1,1,1,1,0,0
UN0165,1,1,2,1,2,PR0120,531783.8216788766,1,0,0,0,1,0,0,0,0
UN0173,2,1,1,1,2,PR0172,1390947.39417517,1,0,0,1,1,1,1,0,1
UN0174,2,1,1,1,2,PR0172,948105.7600899622,1,1,0,1,1,1,1,0,1
UN0175,2,1,1,1,2,PR0172,1117838.3172417535,1,0,0,1,1,1,1,0,1
UN0176,2,1,1,1,2,PR0172,927437.7759138655,1,0,0,1,1,1,1,0,1
